"","artist","artist_id","g1","g2","g3","g4","g5","g6","g7","g8","g9","g10","g11","g12","g13","g14","g15","g16","g17","g18","g19","g20"
"258","Christina Aguilera","1l7ZsJRRS8wlW3WfJfPfNS","dance pop","europop","pop","post-teen pop","r&b",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"259","Jess Glynne","4ScCswdRlyA23odg9thgIO","dance pop","pop","post-teen pop","tropical house","uk pop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"260","J-AX","2iK8weavvfS2xJCmzNzNE5","italian arena pop","italian hip hop","italian pop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"261","Alvaro Soler","2urF8dgLVfDjunO0pcHUEe","latin pop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"262","Arctic Monkeys","7Ln80lUS6He07XvHI8qqHH","garage rock","indie rock","modern rock","permanent wave","rock","sheffield indie",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"263","John Mayer","0hEurMDQu99nJRq8pTxO14","neo mellow","pop","pop rock","singer-songwriter",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"264","Playboi Carti","699OTQXzgjhIYAHMy9RyPD","atl hip hop","hip hop","pop","pop rap","rap","trap music","underground hip hop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"265","Bastille","7EQ0qTo7fWT7DPxmxtSYEc","metropopolis","modern rock","pop","tropical house",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"266","Dark Polo Gang","4CuMwzDzEdlUJMEna38VQ0","italian alternative","italian hip hop","trap italiana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"267","Juice WRLD","4MCBfE4596Uoi2O4DtmEMz","chicago rap","trap music",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"268","Netta","4Z4afeDmHFxPmJorIwupbZ","eurovision","israeli pop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"269","Eleni Foureira","39E15l8zeCDYpSZwFNX4G2","eurovision","greek pop","laiko",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"270","Mikolas Josef","6Kz7MXIUFMtp5Ts91lagtR","czech pop","eurovision",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"271","Michael Schulte","21aa4pj9BvbFB2iT8kRpnq","german pop","indie cafe pop","viral pop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"272","Kane Brown","3oSJ7TBVCWMDMiYjXNiCKE","contemporary country","country road",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"273","Benjamin Ingrosso","7jEEE187pVG6InOxn03oA5","swedish pop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"274","Tee Grizzley","6AUl0ykLLpvTktob97x9hO","detroit hip hop","detroit trap","hip hop","pop rap","rap","southern hip hop","trap music",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"275","Lil Baby","5f7VJjfbwm532GiveGC0ZK","atl hip hop","atl trap","rap","trap music",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"276","Luis Miguel","2nszmSgqreHSdJA3zWPyrW","bolero","latin","latin pop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"277","Tiësto","2o5jDhtHVPhrJdv3cEQ99Z","big room","brostep","dance pop","edm","electro house","house","pop","trance","tropical house",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"278","OneRepublic","5Pwc4xIPtQLFEnJriah9YJ","dance pop","neo mellow","piano rock","pop","pop rap","pop rock","post-teen pop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"279","Tyga","5LHRHt1k9lMyONurDHEdrp","pop","pop rap","rap","trap music",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"280","Jennifer Lopez","2DlGxzQSjYe5N6G9nkYghR","dance pop","pop","pop rap","post-teen pop","r&b","urban contemporary",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"281","Aldair Playboy","6LjdKBMnP1Da8Oe6WhrN56","brega funk","forro","funk carioca","sertanejo pop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"282","Loud Luxury","6t1gpxYbY8OlLA7D2RiikQ","dance pop","edm","house","pop","tropical house",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"283","Pusha T","0ONHkAv9pCAFxb0zJwDNTy","gangster rap","hip hop","pop rap","rap","southern hip hop","trap music","underground hip hop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"284","Matheus & Kauan","2Z0lRIqr997lIUiPtrpKCr","pop nacional","sertanejo universitario",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"285","Wesley Safadão","1AL2GKpmRrKXkYIcASuRFa","forro","funk carioca",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"286","The 1975","3mIj9lX2MWuHmhNCA7LSCW","modern alternative rock","nu gaze","pop","shiver pop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"287","Gorillaz","3AA28KZvwAUcZuOKwyblJQ","alternative hip hop","art pop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"288","Charli XCX","25uiPmTg16RbhZWAqwLBy5","candy pop","dance pop","electropop","metropopolis","pop","post-teen pop","r&b","tropical house",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"289","Florida Georgia Line","3b8QkneNDz4JHKKKlLgYZg","contemporary country","country","country pop","country road","modern country rock",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"290","KIDS SEE GHOSTS","2hPgGN4uhvXAxiXQBIXOmE","hip hop","pop rap","rap",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"291","Summer Cem","3drqpTL4sQOckmAfF9i1wg","german hip hop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"292","MC Bruninho","3shPgAzHMyRwWOkXeoWKeB","brega funk","funk carioca","funk ostentacao",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"293","Louis The Child","7wg1qvie3KqDNQbAkTdbX0","edm","electropop","indie poptimism","pop","tropical house","vapor soul",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"294","Damso","2UwqpfQtNuhBwviIC0f2ie","belgian hip hop","french hip hop","rap conscient","trap francais",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"295","2 Chainz","17lzZA2AlOHwCwFALHttmp","atl hip hop","hip hop","pop","pop rap","rap","southern hip hop","trap music",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"296","BLACKPINK","41MozSoPIsD1dJM0CLPjZF","j-pop girl group","k-pop","k-pop girl group",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"297","Alessia Cara","2wUjUUtkb5lvLKcGKsKqsR","canadian contemporary r&b","dance pop","pop","post-teen pop","r&b",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"298","Nas","20qISvAhX20dpIbOOzGK3q","conscious hip hop","east coast hip hop","gangster rap","hardcore hip hop","hip hop","pop rap","rap",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"299","Ella Mai","7HkdQ0gt53LP4zmHsL0nap","pop","post-teen pop","r&b","uk contemporary r&b",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"300","The Carters","4fpTMHe34LC5t3h5ztK8qu","pop","pop rap","r&b","urban contemporary",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"301","Noah Cyrus","55fhWPvDiMpLnE4ZzNXZyW","dance pop","pop","post-teen pop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"302","PNL","3NH8t45zOTqzlZgBvZRjvB","french hip hop","trap francais",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"303","Ludmilla","3CDoRporvSjdzTrm99a3gi","baile pop","funk carioca","funk das antigas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"304","Alec Benjamin","5IH6FPUwQTxPSXurCrcIov","pop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"305","YG","0A0FS04o6zMoto8OKPsDwY","cali rap","hip hop","pop","pop rap","rap","southern hip hop","trap music",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"306","Brytiago","00XhexlJEXQstHimpZN910","latin","reggaeton flow","trap latino","tropical",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"307","Miley Cyrus","5YGY8feqx7naU7z4HrwZM6","dance pop","pop","post-teen pop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"308","Twenty One Pilots","3YQKmKGau1PzlVlkL1iodx","pop punk","rock",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"309","OMI","5MouCg6ta7zAxsfMEbc1uh","dance pop","tropical house",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"310","Dynoro","3v6Ji4uoWtKRkhuDUaxi9n","edm","tropical house",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"311","Bushido","3c96G4d2lUOxhomM2mby5S","deep german hip hop","german hip hop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"312","Meek Mill","20sxb77xiYeusSH8cVdatc","hip hop","philly rap","pop","pop rap","rap","southern hip hop","trap music",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"313","Justin Quiles","14zUHaJZo1mnYtn6IBRaRP","latin","reggaeton","reggaeton flow","tropical",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"314","benny blanco","5CiGnKThu5ctn9pBxv7DGa","dance pop","edm","pop","post-teen pop","tropical house",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"315","Wiz Khalifa","137W8MRPWKqSmrBGDBFSop","hip hop","pittsburgh rap","pop","pop rap","rap","southern hip hop","trap music",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"316","MØ","0bdfiayQAKewqEvaU6rXCv","dance pop","danish pop","electropop","pop","tropical house",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"317","Vance Joy","10exVja0key0uqUkk6LJRT","indie folk","modern rock","neo mellow","pop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"318","Thalía","23wEWD21D4TPYiJugoXmYb","dance pop","latin","latin pop","mexican pop","pop","tropical",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"319","Chance the Rapper","1anyVhU62p31KFi8MEzkbf","chicago rap","conscious hip hop","hip hop","pop rap","rap",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"320","Alex Rose","2DspEsT7UXGKd2VaaedgG4","reggaeton flow","trap latino",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"321","Rvssian","1fctva4kpRbg2k3v7kwRuS","latin hip hop","reggaeton flow","trap latino",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"322","LANY","49tQo2QULno7gxHutgccqF","la pop","pop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"323","El Profesor","2gTcdmBwgyh3EORKIXCzlw","house",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"324","Dean Lewis","3QSQFmccmX81fWCUSPTS7y","australian pop","pop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"325","Anuel AA","2R21vXR83lH98kGeO99Y66","reggaeton flow","trap latino",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"326","Aitana","7eLcDZDYHXZCebtQmVFL25","latin pop","latin talent show","spanish pop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"327","Kris Kross Amsterdam","4LcUpNlXFEleaLlelmkv2R","dutch house","dutch pop","tropical house",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"328","DJ Durel","1MHslxKWxauC559dXYEX1C","trap music",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"329","Bonez MC","1aS5tqEs9ci5P9KD9tZWa6","german hip hop","hamburg hip hop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"330","Robyn","6UE7nl9mha6s8z0wFQFIZ2","dance pop","electropop","pop","scandipop","swedish electropop","swedish pop","tropical house",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"331","Mac Miller","4LLpKhyESsyAXpc4laK94U","hip hop","pittsburgh rap","pop rap","rap",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"332","Trippie Redd","6Xgp2XMz1fhVYe7i6yNAax","rap","trap music",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"333","Smokepurpp","21dooacK2WGBB5amYvKyfM","miami hip hop","rap","southern hip hop","trap music","underground hip hop","vapor trap",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"334","Quavo","0VRj0yCOv2FXJNP47XQnx5","atl hip hop","hip hop","pop","pop rap","rap","southern hip hop","trap music",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"335","Gryffin","2ZRQcIgzPCVaT9XKhXZIzh","dance pop","edm","electro house","pop","pop edm","tropical house",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"336","Sheck Wes","2RDOrhPqAM4jzTRCEb19qX","rap","trap music","underground hip hop","vapor trap",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"337","Armin van Buuren","0SfsnGyD8FpIN4U4WCkBZ5","edm","progressive house","progressive trance","trance",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"338","Aretha Franklin","7nwUJBm0HE4ZxD3f5cy5ok","classic soul","jazz blues","memphis soul","soul","southern soul",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"339","Lele Pons","6i3DxIlAqnDkwELLw4aVrx","viral pop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"340","a-ha","2jzc5TC5TVFLXQlBNiIUzE","dance rock","new romantic","new wave","new wave pop","permanent wave","soft rock","synthpop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"341","Bring Me The Horizon","1Ffb6ejR6Fe5IamqA5oRUF","melodic metalcore","metalcore","rock","screamo","uk metalcore",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"342","Nick Jonas","4Rxn7Im3LGfyRkY2FlHhWi","dance pop","pop","post-teen pop","viral pop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"343","Bas","70gP6Ry4Uo0Yx6uzPIdaiJ","hip hop","pop rap","rap","southern hip hop","underground hip hop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"344","Bryce Vine","1ShZZUjkbXCjhwrb18BA8I","pop","pop rap",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"345","Why Don't We","2jnIB6XdLvnJUeNTy5A0J2","boy band","dance pop","pop","post-teen pop","teen pop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"346","Alesso","4AVFqumd2ogHFlRbKIjp1t","big room","dance pop","edm","electro house","pop","progressive electro house","tropical house",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"347","Lil Mosey","5zctI4wO9XSKS8XwcnqEHk","rap conscient","trap music","vapor trap",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"348","Social House","5UjifI1TYefXWn9GdqDOHl","pop rap",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"349","Silk City","2X97ZAqRKRMYFIDqtvGgGc","edm","house","tropical house",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"350","Russ","1z7b1Pr1rSlvWRzsW3HOrS","pop","rap",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"351","Frenna","6m1LYS5NQonxjOcQFPQOb5","dutch hip hop","dutch pop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"352","Lukas Graham","25u4wHJWxCA9vO0CzxAbK7","danish pop","pop","scandipop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"353","Steve Aoki","77AiFEVeAVj2ORpC85QVJs","big room","dance pop","edm","electro house","pop","tropical house",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"354","Flipp Dinero","2HUwZ0kumzCSlhFcjFZfpp","rap","trap music","underground hip hop","vapor trap",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"355","Gue Pequeno","7F2utINZ6tSokSiZTQBE27","italian hip hop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"356","Joji","3MZsBdqDrRTJihTHQrO6Dq","alternative r&b","viral pop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"357","Lana Del Rey","00FQb4jTyendYWaN8pK0wa","dance pop","pop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"358","6LACK","4IVAbR2w4JJNJDDRFP3E83","alternative r&b","atl hip hop","hip hop","pop","pop rap","rap","trap music",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"359","Loredana","2Im8m4STDBosjfmb5hmP80","german hip hop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"360","Marília Mendonça","1yR65psqiazQpeM79CcGh8","sertanejo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"361","GASHI","0JOxt5QOwq0czoJxvSc5hS","trap music","trap soul",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"362","Aminé","3Gm5F95VdRxW3mqCn8RPBJ","hip hop","pop","pop rap","portland hip hop","rap",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"363","Lil Peep","2kCcBybjl3SAtIcwdWpUe3","emo rap","lgbtq+ hip hop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"364","Salmo","3hBQ4zniNdQf1cqqo6hzuW","italian hip hop","italian underground hip hop","rap sardegna",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"365","Mumford & Sons","3gd8FJtBJtkRxdfbTu19U2","modern rock","stomp and holler","uk americana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"366","Farid Bang","2JwyRtuXf2l6sTnSnGVIa1","german hip hop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"367","BROCKHAMPTON","1Bl6wpkWCQ4KVgnASpvzzA","boy band","hip hop","pop rap","rap",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"368","Avril Lavigne","0p4nmQO2msCgU4IF37Wi3j","canadian pop","candy pop","dance pop","pop","post-teen pop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"369","Veysel","4VuARVJiWGsH2msKTdsKdQ","albanian hip hop","german hip hop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"370","Ava Max","4npEfmQ6YuiwW1GpUmaq3F","dance pop","pop","post-teen pop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"371","Lil Wayne","55Aa2cqylxrFIXC767Z865","hip hop","new orleans rap","pop","pop rap","rap","trap music",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"372","Lady Gaga","1HY2Jd0NmPuamShAr6KMms","dance pop","pop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"373","Lauren Daigle","40LHVA5BTQp9RxHOQ9JPYj","ccm","christian music","worship",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"374","Anderson .Paak","3jK9MiCrA42lLAdMGUZpwa","escape room",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"375","Gunna","2hlmm7s2ICUX0LVIhVFlZQ","atl hip hop","rap","southern hip hop","trap music",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"376","Bryant Myers","6w9ToX5slZ4uIdmD17hJ3c","latin","reggaeton flow","trap latino","tropical",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"377","Marc Anthony","4wLXwxDeWQ8mtUIRPxGiD6","latin","latin pop","modern salsa","salsa","tropical",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"378","Kevin Roldan","1RBzGO6Nm3uyhUSxP7EDWO","latin","latin hip hop","reggaeton","reggaeton flow","tropical",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"379","Little Mix","3e7awlrlDSwF3iM0WBjGMp","dance pop","girl group","pop","post-teen pop","r&b","talent show","uk pop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"380","Zara Larsson","1Xylc3o4UrD53lo9CvFvVg","dance pop","edm","electropop","pop","post-teen pop","r&b","scandipop","swedish electropop","swedish pop","tropical house",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"381","KitschKrieg","5tHiL8SKSaZGMBUPIiSmX4","german hip hop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"382","RM","2auC28zjQyVTsiZKNgPRGs","k-hop","k-pop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"383","Lauren Jauregui","3J0BpFVUc9LeOIVeN5uNhU","post-teen pop","r&b",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"384","Normani","2cWZOOzeOm4WmBJRnD5R7I","pop","post-teen pop","r&b",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"385","Takeoff","3EW0kQ1skZiK1NHg3Spt9J","atl hip hop","hip hop","pop rap","rap","southern hip hop","trap music",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"386","Felipe Araújo","47uyFQHOD02S0lj9ptRpoB","funk carioca","sertanejo pop","sertanejo universitario",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"387","Morat","5C4PDR4LnhZTbVnKWXuDKD","colombian pop","latin pop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"388","Luciano","3CJKkU0XuElRT1z8rEtIYg","german hip hop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"389","Ray Parker, Jr.","0NyzfcGDZZ6GM25EBG9BYK","disco","funk","post-disco","quiet storm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"390","Bobby ""Boris"" Pickett","42MRYPhQfcEXqb18dl5ERX","halloween",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"391","Rihanna","5pKCCKE2ajJHZ9KAiaK11H","dance pop","pop","post-teen pop","r&b","urban contemporary",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"392","Blue Öyster Cult","00tVTdpEhQQw1bqdu8RCx2","album rock","art rock","blues-rock","classic rock","hard rock","metal","psychedelic rock","rock","soft rock","southern rock",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"393","Marilyn Manson","2VYQTNDsvvKN9wmU5W7xpj","alternative metal","industrial","industrial metal","industrial rock","nu metal","post-grunge","rock","wrestling",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"394","DJ Jazzy Jeff & The Fresh Prince","1mG23iQeR29Ojhq89D5gbh","gangster rap","hip hop","old school hip hop","philly rap","rap",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"395","Metro Boomin","0iEtIxbK0KxaSlF7G42ZOp","hip hop","pop","pop rap","rap","southern hip hop","trap music",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"396","Fedez","3pgCLfNbw5ozIfoNsvDU7i","italian arena pop","italian hip hop","italian pop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
