"","artist","artist_id","g1","g2","g3","g4","g5","g6","g7","g8","g9","g10","g11","g12","g13","g14","g15","g16","g17","g18","g19","g20"
"156","Bazzi","4GvEc3ANtPPjt1ZJllr5Zl","dance pop","pop","post-teen pop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"157","Fall Out Boy","4UXqAaa6dQYAk18Lv7PEgX","emo","modern rock","pop punk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"158","Ghali","3egWSWp7Y4FyCKIyvXbw7L","italian hip hop","milan indie","rap tunisien",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"159","Dj Kass","431Pb5EV8KsCBGTw96ZTQ4","chilean hardcore",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"160","Kesha","6LqNN22kT3074XbTVUrhzX","dance pop","electropop","pop","pop rap","post-teen pop","r&b",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"161","Rich The Kid","1pPmIToKXyGdsCF6LmqLmI","atl hip hop","pop","pop rap","rap","southern hip hop","trap music",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"162","CHVRCHES","3CjlHNtplJyTf9npxaPl5w","electropop","indie poptimism","indietronica","metropopolis","modern rock","neo-synthpop","shimmer pop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"163","Rich Brian","2IDLDx25HU1nQMKde4n61a","indonesian hip hop","underground hip hop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"164","Red Velvet","1z4g3DjTBBZKhvAroFlhOM","j-pop girl group","k-pop","k-pop girl group",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"165","Rae Sremmurd","7iZtZyCzp3LItcw1wtPI3D","hip hop","pop","pop rap","rap","southern hip hop","trap music",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"166","John Legend","5y2Xq6xcjJb2jVM54GHK3t","neo mellow","neo soul","pop","r&b","urban contemporary",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"167","Beyoncé","6vWDO969PvNqNYHIOW5v0m","dance pop","pop","r&b",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
