"","track_id","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","duration_ms","time_signature","danceability"
"1844","0tXPhc8LvM4dPvoRwI66XQ",0.101,7,-14.657,1,0.0315,0.934,5.05e-05,0.159,0.141,83.13,264827,4,0.282
"1845","4EZUcj7c8n9pWIwHqN0DoH",0.328,10,-10.892,1,0.0261,0.891,0.00038,0.307,0.405,100.83,165960,4,0.489
"1846","4MrfQL4TYQXJBlZYpAHTuE",0.196,0,-16.093,1,0.0571,0.882,0,0.0513,0.537,130.036,143733,3,0.469
"1847","4qBejt9FeqLI9blHI1Nq1x",0.588,5,-5.914,1,0.0563,0.634,0,0.198,0.849,122.945,159973,3,0.702
"1848","7faDzZnZYqTyYThx2sbHVQ",0.103,9,-14.405,1,0.0404,0.804,0,0.076,0.341,110.378,136427,4,0.607
"1849","4rMWDm28mERZcRPc1f3yir",0.564,0,-10.803,1,0.0371,0.277,0.000353,0.133,0.932,146.709,148160,4,0.696
"1850","5KHzV8Gf3aweIMImliFAOs",0.637,9,-4.893,1,0.0486,0.0626,0,0.371,0.197,92.045,220589,4,0.284
"1851","4HEOgBHRCExyYVeTyrXsnL",0.339,8,-13.119,1,0.0498,0.727,0,0.0977,0.951,174.609,120693,4,0.512
"1852","0vmANNClszGQZ0FISySK61",0.585,3,-11.694,1,0.0548,0.301,1.91e-05,0.688,0.732,128.487,179667,4,0.571
"1853","4eqne0oIdt9GW2ubiliny0",0.161,6,-16.091,1,0.0357,0.961,0.000905,0.112,0.111,64.16,162200,4,0.273
"1854","5xlS0QkVrSH7ssEbBgBzbM",0.553,11,-9.336,1,0.0328,0.108,0,0.0512,0.971,130.594,118840,4,0.602
"1855","25leEEaz1gIpp7o21Fqyjo",0.372,1,-11.99,1,0.0358,0.799,0,0.275,0.976,96.628,150267,4,0.834
"1856","4FPrAERfkPKOBKrRoyuxLu",0.702,3,-6.763,1,0.0247,0.00722,0,0.0896,0.414,83.873,198267,4,0.517
"1857","5x37oQPX5730aqxlvXT2qa",0.566,7,-9.363,1,0.0243,0.275,0,0.0482,0.495,144.061,251267,4,0.558
"1858","6MWtB6iiXyIwun0YzU6DFP",0.539,11,-7.399,0,0.178,0.163,2.1e-06,0.101,0.385,99.947,149520,4,0.833
"1859","4uP3pUP18ennmz0tb3GphR",0.73,10,-4.314,0,0.125,0.287,8.1e-05,0.0778,0.15,179.972,197968,4,0.743
"1860","0hnErtVKN1JyvfBNfpWDpO",0.443,0,-8.649,1,0.0249,0.453,0,0.0647,0.38,76.874,247933,4,0.505
"1861","0SvD6EdetxVtXei2JhkV4B",0.676,8,-5.478,1,0.033,0.114,0,0.255,0.524,149.965,231933,4,0.578
"1862","2qqZ5fOGuNvYVzgPFDLQ4l",0.718,0,-8.722,1,0.0361,0.278,0,0.202,0.925,112.542,241427,4,0.781
"1863","0Ie5uiv54KgCr7P4sYDTHl",0.476,0,-8.869,1,0.0649,0.647,0,0.281,0.558,113.401,166147,3,0.553
"1864","3iwZ8hg0q1kTBB5kjg0nO4",0.623,7,-9.436,1,0.0499,0.0199,0.000731,0.159,0.511,128.268,205467,4,0.367
"1865","79a2ejVzj2SpXkpWdfv1Co",0.297,1,-12.332,1,0.0794,0.777,0,0.124,0.622,154.639,175987,4,0.485
"1866","44mYhOVgerj2qPjkGDVA6n",0.212,0,-15.018,0,0.0496,0.77,0,0.136,0.576,96.94,166000,4,0.473
"1867","7F9oCEKbqjN99cV5HpvYER",0.32,0,-12.788,1,0.0289,0.637,0.00202,0.128,0.437,115.808,192459,4,0.586
"1868","1NghHeg0wE32eBYrQBVQXL",0.831,0,-2.187,1,0.0654,0.0031,0,0.337,0.572,81.531,232213,4,0.458
"1869","4uqRDeCgXPLQFYqA5uf5Tr",0.58,11,-5.422,0,0.0433,0.225,0,0.0779,0.66,133.974,148086,4,0.725
"1870","5xDrO9DEDJGUQGfyoHvgDJ",0.793,7,-2.775,1,0.0272,0.127,0,0.102,0.802,102.986,203653,4,0.677
"1871","278kSqsZIiYp8p3QjYAqa8",0.449,5,-8.33,0,0.0674,0.556,1.85e-05,0.273,0.337,128.028,236216,4,0.826
"1872","2HD7DoEe9FdtvGdAdQIv5W",0.197,8,-10.191,1,0.0337,0.801,0,0.115,0.338,178.893,227887,3,0.324
